Meter Number,Account Name,Borough,Service Start Date,is_federal,is_bws,Meter AMR,# days,Consumption (HCF),Current Charges,Other Charges,Service End Date,Building,Estimated score,Bill Analyzed score
E19354760,FHA REPOSSESSED HOUSES (GROUP I),FHA,01/14/2013,True,True,True,2656,368,4061.28,118.02,10/22/2019,209_148-13 SUTTER AVENUE,0.0,0.9764705882352941
E19361969,FHA REPOSSESSED HOUSES (GROUP IV),FHA,11/14/2012,True,True,True,2801,346,4528.06,100.25,01/05/2020,226_447 EFFINGHAM AVENUE,0.15476190476190477,0.9880952380952381
E19363130,FHA REPOSSESSED HOUSES (GROUP V),FHA,11/14/2012,True,True,True,734,75,927.49,0.0,12/21/2014,260_117-37 192ND STREET,0.0,0.9523809523809523
E19363736,FHA REPOSSESSED HOUSES (GROUP V),FHA,11/14/2012,True,True,True,2717,1136,11059.71,0.0,10/22/2019,260_190-15 109TH ROAD,0.0,0.9534883720930233
E19369024,FHA REPOSSESSED HOUSES (GROUP VI),FHA,01/14/2013,True,True,True,2656,136,3378.84,154.82,10/22/2019,273_114-44 198TH STREET,0.0,0.9529411764705882
E19370635,FHA REPOSSESSED HOUSES (GROUP IV),FHA,12/13/2012,True,True,True,2688,651,6563.66,43.15,10/22/2019,226_113-32 205TH STREET,0.011627906976744186,0.9651162790697675
E19370659,FHA REPOSSESSED HOUSES (GROUP III),FHA,01/14/2013,True,True,True,2656,100,3357.57,189.08,10/22/2019,213_115-27 208TH STREET,0.0,0.9764705882352941
E19376561,FHA REPOSSESSED HOUSES (GROUP I),FHA,01/14/2013,True,True,True,2656,1073,10306.53,0.0,10/22/2019,209_1504 BEACH 12TH STREET,0.0,0.9647058823529412
E19405254,FHA REPOSSESSED HOUSES (GROUP X),FHA,11/14/2012,True,True,True,2717,861,8232.41,0.0,10/22/2019,284_188-56 120TH ROAD,0.0,0.9651162790697675
E19405270,FHA REPOSSESSED HOUSES (GROUP V),FHA,01/14/2013,True,True,True,2656,7280,72285.65,192.89,10/22/2019,260_194-47 115TH AVENUE,0.0,0.9294117647058824
E19423193,FHA REPOSSESSED HOUSES (GROUP X),FHA,12/13/2012,True,True,True,2690,2771,13476.05,0.0,10/22/2019,284_117-17 204TH STREET,0.03488372093023256,0.9534883720930233
E19430849,FHA REPOSSESSED HOUSES (GROUP V),FHA,11/14/2012,True,True,True,2716,591,6281.55,428.93,10/22/2019,260_205-20 112TH AVENUE,0.0,0.9418604651162791
E19432100,FHA REPOSSESSED HOUSES (GROUP IV),FHA,01/14/2013,True,True,True,1297,5,1632.99,36.8,08/03/2016,226_202-02 111TH AVENUE,0.07692307692307693,1.0
E19432321,FHA REPOSSESSED HOUSES (GROUP VIII),FHA,12/13/2012,True,True,True,2688,612,6538.86,576.13,10/22/2019,275_111-20 205TH STREET,0.0,0.9651162790697675
E19432595,FHA REPOSSESSED HOUSES (GROUP II),FHA,12/13/2012,True,True,True,2688,2243,21897.2,0.0,10/22/2019,212_110-16 207TH STREET,0.0,0.9418604651162791
E19432601,FHA REPOSSESSED HOUSES (GROUP I),FHA,04/12/2012,True,True,True,2933,765,7703.69,118.02,10/22/2019,209_213-24 NASHVILLE BOULEVARD,0.0,0.9418604651162791
E19435836,FHA REPOSSESSED HOUSES (GROUP V),FHA,01/14/2013,True,True,True,927,246,2299.19,0.0,07/30/2015,260_190-48 111TH ROAD,0.0,0.9310344827586207
E19435897,FHA REPOSSESSED HOUSES (GROUP VII),FHA,12/13/2012,True,True,True,801,232,2149.15,0.0,02/22/2015,274_114-42 200TH STREET,0.0,0.9523809523809523
E19452292,FHA REPOSSESSED HOUSES (GROUP X),FHA,11/14/2012,True,True,True,2717,373,4185.94,499.99,10/22/2019,284_174-16 111TH AVENUE,0.0,0.9651162790697675
E19452303,FHA REPOSSESSED HOUSES (GROUP V),FHA,11/14/2012,True,True,True,1064,149,1538.67,0.0,10/14/2015,260_110-17 172ND STREET,0.0,0.90625
E19468521,FHA REPOSSESSED HOUSES (GROUP II),FHA,01/14/2013,True,True,True,2656,1790,17486.21,0.0,10/22/2019,212_215-32 112TH AVENUE,0.0,0.9647058823529412
E19469155,FHA REPOSSESSED HOUSES (GROUP VI),FHA,12/13/2012,True,True,True,2688,1668,8474.73,0.0,10/22/2019,273_105-36 FARMERS BOULEVARD,0.0,0.9767441860465116
E19489516,FHA REPOSSESSED HOUSES (GROUP V),FHA,11/14/2012,True,True,True,1954,319,3022.79,0.0,03/22/2018,260_108-15 164TH PLACE,0.07017543859649122,0.9473684210526315
E19489521,FHA REPOSSESSED HOUSES (GROUP I),FHA,12/13/2012,True,True,True,1203,87,1512.72,0.0,03/30/2016,209_109-40 176TH STREET,0.0,1.0
E19489541,FHA REPOSSESSED HOUSES (GROUP X),FHA,12/13/2012,True,True,True,2688,477,5121.78,191.62,10/22/2019,284_111-46 156TH STREET,0.0,0.9651162790697675
E19508239,FHA REPOSSESSED HOUSES (GROUP V),FHA,01/14/2013,True,True,True,2656,490,4750.9,43.15,10/22/2019,260_110-15 169TH STREET,0.0,0.9647058823529412
E19508320,FHA REPOSSESSED HOUSES (GROUP I),FHA,12/13/2012,True,True,True,494,1,611.46,0.0,04/21/2014,209_115-21 200TH STREET,0.0,0.9285714285714286
E19532293,WILLIAMSBURG,BROOKLYN,06/11/2014,True,True,True,71,0,90.1,0.0,08/21/2014,2_BLD 08,0.0,1.0
E19547546,FHA REPOSSESSED HOUSES (GROUP X),FHA,12/13/2012,True,True,True,2090,528,4988.55,0.0,09/03/2018,284_111-27 207TH STREET,0.26,1.0
E19560321,FHA REPOSSESSED HOUSES (GROUP IX),FHA,01/14/2013,True,True,True,2656,1000,9775.57,0.0,10/22/2019,283_75 WAVERLY AVENUE,0.0,0.9647058823529412
E19560493,FHA REPOSSESSED HOUSES (GROUP IX),FHA,01/14/2013,True,True,True,2656,4940,25432.41,0.0,10/22/2019,283_71 WAVERLY AVENUE,0.011764705882352941,0.9411764705882353
E19822076,SMITH,MANHATTAN,08/28/2018,True,True,True,604,1318,13522.89,0.0,10/22/2019,27_BLD 08,0.0,0.9
E20167360,FHA REPOSSESSED HOUSES (GROUP IX),FHA,11/14/2012,True,True,True,2717,553,6172.14,538.06,10/22/2019,283_359 BERRIMAN STREET,0.0,0.9651162790697675
E20172597,FENIMORE-LEFFERTS,BROOKLYN,03/11/2012,True,True,True,821,489,4392.22,0.0,07/22/2014,205_BLD 18,0.0,0.9411764705882353
E20177994,"NDF - CENTRAL MAINTENANCE SHOP, 23 ASH ST",NON DEVELOPMENT FACILITY,12/23/2019,False,True,True,214,76,793.74,39.34,10/22/2019,999_BLD 01,0.0,1.0
E20179084,FENIMORE-LEFFERTS,BROOKLYN,11/14/2012,True,True,True,2717,701,6820.94,0.0,10/22/2019,205_BLD 12,0.0,0.9651162790697675
E20189928,FHA REPOSSESSED HOUSES (GROUP I),FHA,01/14/2013,True,True,True,2689,1795,17759.33,235.71,10/22/2019,209_218-34 119TH AVENUE,0.0,0.9534883720930233
E20215933,FHA REPOSSESSED HOUSES (GROUP II),FHA,12/13/2012,True,True,True,1197,410,3858.11,0.0,03/24/2016,212_111-33 207TH STREET,0.0,0.918918918918919
E20226414,FHA REPOSSESSED HOUSES (GROUP X),FHA,10/17/2012,True,True,True,2745,754,7218.61,0.0,10/22/2019,284_104-10 212TH STREET,0.011627906976744186,0.9767441860465116
E20226519,FHA REPOSSESSED HOUSES (GROUP V),FHA,12/13/2012,True,True,True,2688,1349,13095.1,0.0,10/22/2019,260_112-22 198TH STREET,0.0,0.9651162790697675
E20231894,FENIMORE-LEFFERTS,BROOKLYN,11/14/2012,True,True,True,2717,1625,15948.2,0.0,10/22/2019,205_BLD 14,0.0,0.9534883720930233
E20235589,FHA REPOSSESSED HOUSES (GROUP V),FHA,12/13/2012,True,True,True,2688,470,5027.16,82.49,10/22/2019,260_198-15 116TH AVENUE,0.0,0.9767441860465116
E20247653,FHA REPOSSESSED HOUSES (GROUP III),FHA,12/13/2012,True,True,True,311,77,688.39,0.0,10/20/2013,213_3027 EDSON AVENUE,0.0,1.0
E20257407,FHA REPOSSESSED HOUSES (GROUP IV),FHA,01/14/2013,True,True,True,2688,4779,47660.95,582.48,10/22/2019,226_209-26 NASHVILLE BOULEVARD,0.045454545454545456,0.9393939393939394
E20257499,FHA REPOSSESSED HOUSES (GROUP I),FHA,12/13/2012,True,True,True,2688,3062,11745.55,0.0,10/22/2019,209_104-33 203RD STREET,0.011627906976744186,0.9534883720930233
E20275296,FHA REPOSSESSED HOUSES (GROUP VII),FHA,11/14/2012,True,True,True,2719,842,8574.51,0.0,10/25/2019,274_111-50 WITTHOFF STREET,0.2125,0.9625
E20275744,FHA REPOSSESSED HOUSES (GROUP IV),FHA,11/14/2012,True,True,True,2717,1108,10549.33,39.34,10/22/2019,226_190-18 119TH AVENUE,0.0,0.9534883720930233
E20277590,FHA REPOSSESSED HOUSES (GROUP V),FHA,11/14/2012,True,True,True,2717,4012,18793.8,0.0,10/22/2019,260_104-28 209TH STREET,0.011627906976744186,0.9534883720930233
E20277651,FHA REPOSSESSED HOUSES (GROUP VII),FHA,11/14/2012,True,True,True,2717,370,3705.31,119.29,10/22/2019,274_219-30 MURDOCK AVENUE,0.0,0.9883720930232558
E20277774,FHA REPOSSESSED HOUSES (GROUP VIII),FHA,12/13/2012,True,True,True,1030,475,4465.69,0.0,10/09/2015,275_111-21 212TH STREET,0.0,0.96875
E20277906,FHA REPOSSESSED HOUSES (GROUP VII),FHA,12/13/2012,True,True,True,1016,186,1800.57,0.0,09/25/2015,274_113-20 209th Street,0.0,0.9375
E20278511,FHA REPOSSESSED HOUSES (GROUP V),FHA,11/14/2012,True,True,True,971,283,2632.43,0.0,07/13/2015,260_114-70 211TH STREET,0.0,0.9310344827586207
E20280839,FHA REPOSSESSED HOUSES (GROUP X),FHA,11/14/2012,True,True,True,2717,703,7055.14,118.02,10/22/2019,284_191-18 120TH AVENUE,0.0,0.9534883720930233
E20280973,FHA REPOSSESSED HOUSES (GROUP IV),FHA,07/15/2012,True,True,True,2841,584,6556.97,118.02,10/25/2019,226_119-12 219TH STREET,0.8596491228070176,1.0
E20290492,FENIMORE-LEFFERTS,BROOKLYN,12/13/2012,True,True,True,2688,2899,28427.01,0.0,10/22/2019,205_BLD 10,0.0,0.9767441860465116
E20290493,FENIMORE-LEFFERTS,BROOKLYN,11/14/2012,True,True,True,2717,990,10336.38,0.0,10/22/2019,205_BLD 09,0.0,0.9651162790697675
E20290494,FENIMORE-LEFFERTS,BROOKLYN,12/13/2012,True,True,True,2688,2803,27582.72,0.0,10/22/2019,205_BLD 11,0.0,0.9883720930232558
E20290495,FENIMORE-LEFFERTS,BROOKLYN,12/13/2012,True,True,True,2688,3562,34824.3,0.0,10/22/2019,205_BLD 08,0.0,0.9651162790697675
E20290719,FENIMORE-LEFFERTS,BROOKLYN,12/13/2012,True,True,True,2688,1835,17865.39,0.0,10/22/2019,205_BLD 07,0.0,0.9767441860465116
E20291369,FENIMORE-LEFFERTS,BROOKLYN,12/13/2012,True,True,True,2688,2041,19824.6,0.0,10/22/2019,205_BLD 06,0.0,0.9767441860465116
E20297751,FHA REPOSSESSED HOUSES (GROUP I),FHA,11/14/2012,True,True,True,2719,363,3553.06,118.02,10/25/2019,209_143-03 105TH AVENUE,0.7441860465116279,0.9883720930232558
E20304849,FHA REPOSSESSED HOUSES (GROUP III),FHA,01/14/2013,True,True,True,2656,1436,9133.33,43.15,10/22/2019,213_111-32 209TH STREET,0.0,0.9647058823529412
E20308398,FENIMORE-LEFFERTS,BROOKLYN,07/22/2014,True,True,True,2102,1819,18056.77,0.0,10/22/2019,205_BLD 18,0.0,0.9855072463768116
E20312472,FENIMORE-LEFFERTS,BROOKLYN,12/13/2012,True,True,True,2688,3049,30921.52,0.0,10/22/2019,205_BLD 16,0.0,0.9883720930232558
E20319908,FHA REPOSSESSED HOUSES (GROUP X),FHA,01/14/2013,True,True,True,1176,458,4338.3,0.0,04/04/2016,284_94-29 211TH STREET,0.0,0.9459459459459459
E20332250,FHA REPOSSESSED HOUSES (GROUP II),FHA,01/14/2013,True,True,True,2623,2798,12823.15,0.0,10/22/2019,209_110-26 216TH STREET,0.0,0.9404761904761905
E20333760,FENIMORE-LEFFERTS,BROOKLYN,11/14/2012,True,True,True,2717,10348,41544.02,0.0,10/22/2019,205_BLD 05,0.0,0.9651162790697675
E20372431,FHA REPOSSESSED HOUSES (GROUP IX),FHA,11/14/2012,True,True,True,2717,190,3618.53,618.01,10/22/2019,283_349 BERRIMAN STREET,0.0,0.9767441860465116
E20372432,FHA REPOSSESSED HOUSES (GROUP IX),FHA,11/14/2012,True,True,True,2717,1985,19225.61,0.0,10/22/2019,283_341 BERRIMAN STREET,0.0,0.9651162790697675
E20372610,FENIMORE-LEFFERTS,BROOKLYN,11/14/2012,True,True,True,2717,2085,20502.33,0.0,10/22/2019,205_BLD 13,0.011627906976744186,0.9767441860465116
E20395938,WHITMAN,BROOKLYN,04/28/2013,True,True,True,62,5,76.27,0.0,09/21/2017,514_BLD 38,0.0,1.0
