borough,location_category,development_type,month_service_start_date_sin,month_service_start_date_cos,day_service_start_date_sin,day_service_start_date_cos,month_service_end_date_sin,month_service_end_date_cos,day_service_end_date_sin,day_service_end_date_cos,is_only_water_sewer_charges,year_service_start_date,year_service_end_date,is_federal,is_meter_amr,#_days,consumption_(hcf),current_charges,estimated_score,bill_analyzed_score
0.15633423180592992,0.6293800539083558,0.5,-0.5000000000000004,0.8660254037844384,0.29936312297335804,-0.9541392564000488,-0.866025403784439,0.49999999999999933,-0.9680771188662043,-0.2506525322587205,True,2012,2019,True,True,2717,59257,575957.94,0.0,1.0
0.15633423180592992,0.6293800539083558,0.5,-2.4492935982947064e-16,1.0,0.48530196253108104,-0.8743466161445821,-0.866025403784439,0.49999999999999933,-0.9680771188662043,-0.2506525322587205,True,2012,2019,False,True,2688,13493,133051.65,0.0,0.9651162790697675
0.15633423180592992,0.6293800539083558,0.5,-2.4492935982947064e-16,1.0,0.48530196253108104,-0.8743466161445821,-0.4999999999999997,-0.8660254037844388,-0.10116832198743204,-0.9948693233918952,True,2012,2018,False,True,2031,10832,104451.02,0.0,0.9692307692307692
0.11859838274932614,0.6293800539083558,0.12398921832884097,-0.5000000000000004,0.8660254037844384,-0.10116832198743204,-0.9948693233918952,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,True,2012,2018,True,True,2050,15572,149363.68,0.9538461538461539,0.9846153846153847
0.15633423180592992,0.6293800539083558,0.5,-2.4492935982947064e-16,1.0,0.48530196253108104,-0.8743466161445821,-0.4999999999999997,-0.8660254037844388,-0.10116832198743204,-0.9948693233918952,True,2012,2018,False,True,2001,17792,171161.25,0.015625,0.953125
0.15633423180592992,0.6293800539083558,0.5,0.49999999999999994,0.8660254037844387,0.29936312297335804,-0.9541392564000488,-0.8660254037844385,-0.5000000000000004,-0.7907757369376986,-0.6121059825476627,True,2013,2015,True,True,948,16099,152082.51,0.0,0.9310344827586207
0.15633423180592992,0.6293800539083558,0.5,0.49999999999999994,0.8660254037844387,0.29936312297335804,-0.9541392564000488,-0.8660254037844385,-0.5000000000000004,-0.7907757369376986,-0.6121059825476627,True,2013,2015,True,True,948,13172,123373.02,0.0,0.9310344827586207
0.11859838274932614,0.6293800539083558,0.5,-0.5000000000000004,0.8660254037844384,-0.9884683243281114,0.15142777750457667,-0.866025403784439,0.49999999999999933,-0.7907757369376986,-0.6121059825476627,True,2014,2017,True,False,1061,9352,91450.97,0.5625,1.0
0.48517520215633425,0.18867924528301888,0.37601078167115903,1.0,6.123233995736766e-17,-0.9680771188662043,-0.2506525322587205,-0.866025403784439,0.49999999999999933,-0.9680771188662043,-0.2506525322587205,True,2018,2019,True,True,763,333,3378.31,0.0,1.0
0.48517520215633425,0.02830188679245283,0.37601078167115903,1.2246467991473532e-16,-1.0,-0.7907757369376986,-0.6121059825476627,-0.866025403784439,0.49999999999999933,-0.9680771188662043,-0.2506525322587205,False,2019,2019,True,True,308,42,423.69,0.0,1.0
0.48517520215633425,0.18867924528301888,0.37601078167115903,1.0,6.123233995736766e-17,-0.9884683243281114,0.15142777750457667,-0.866025403784439,0.49999999999999933,-0.9680771188662043,-0.2506525322587205,True,2016,2019,True,True,1491,6053,10050.26,0.0,0.9387755102040817
0.48517520215633425,0.18867924528301888,0.37601078167115903,0.49999999999999994,0.8660254037844387,-0.9377521321470804,0.3473052528448203,-0.5000000000000004,0.8660254037844384,0.20129852008866006,0.9795299412524945,True,2017,2017,True,False,280,9,355.32,1.0,0.9
0.11859838274932614,0.6293800539083558,0.12398921832884097,-0.5000000000000004,0.8660254037844384,-0.10116832198743204,-0.9948693233918952,-0.5000000000000004,0.8660254037844384,0.8978045395707416,-0.4403941515576344,False,2012,2019,True,False,2671,258,3372.01,0.9642857142857143,1.0
0.48517520215633425,0.09838274932614555,0.37601078167115903,0.8660254037844387,-0.4999999999999998,-0.72479278722912,0.6889669190756865,-0.866025403784439,0.49999999999999933,-0.9680771188662043,-0.2506525322587205,True,2018,2019,True,True,727,203,2070.2,0.0,0.9166666666666666
0.15633423180592992,0.6293800539083558,0.5,0.49999999999999994,0.8660254037844387,0.29936312297335804,-0.9541392564000488,-0.866025403784439,0.49999999999999933,-0.9680771188662043,-0.2506525322587205,True,2013,2019,False,True,2656,7841,77092.98,0.0,0.9529411764705882
0.48517520215633425,0.09838274932614555,0.37601078167115903,-0.5000000000000004,0.8660254037844384,0.29936312297335804,-0.9541392564000488,-0.4999999999999997,-0.8660254037844388,-0.9680771188662043,-0.2506525322587205,True,2012,2014,True,True,615,116,1129.99,0.0,0.9411764705882353
0.2358490566037736,0.6293800539083558,0.5,-0.866025403784439,0.49999999999999933,0.10116832198743228,-0.9948693233918952,-0.5000000000000004,0.8660254037844384,0.8978045395707416,-0.4403941515576344,False,2010,2019,False,False,3404,111,4196.82,0.9634146341463414,1.0
0.48517520215633425,0.18867924528301888,0.37601078167115903,-2.4492935982947064e-16,1.0,0.6513724827222223,-0.758758122692791,-0.866025403784439,0.49999999999999933,-0.9377521321470804,0.3473052528448203,True,2012,2019,True,False,2691,1482,14867.97,0.85,1.0
0.15633423180592992,0.6293800539083558,0.5,0.49999999999999994,0.8660254037844387,0.29936312297335804,-0.9541392564000488,-0.866025403784439,0.49999999999999933,-0.9680771188662043,-0.2506525322587205,True,2013,2019,True,True,2659,39320,384498.65,0.36470588235294116,0.9764705882352941
